под (+inst)	under	под домом|under the house	deck#5	due@2020-12-11 10:21:44
даже	even	Даже Иван знает это|Even Ivan knows that	deck#5	due@2020-12-11 10:21:45
думать/по-	to think	Они думают о жизни|They think about life; Она не подумала о нём|She didn’t think about him	deck#5	due@2020-12-11 10:21:47
хорошо	well; it is good	Очень хорошо!|Very good!	deck#5	due@2020-12-11 10:21:47
можно	it is possible	Можно идти?|Is it possible to go?	deck#5	due@2020-12-11 10:21:49
тут	here (like здесь)	Иван тут, в нашем доме|Ivan is here, in our house	deck#4	due@2020-10-11 22:31:46
тысяча	thousand	две тысячи слов|two thousand words	deck#3	due@2020-09-19 08:41:55
ли	whether [question word]	Знаете ли вы Ивана? Я не знаю, здесь ли он|Do you know Ivan? I don’t know whether he’s here	deck#5	due@2020-12-11 10:21:51
вода	water	водка с водой; пить воду|vodka with water; to drink water	deck#5	due@2020-12-10 22:32:27
ничто/ничего (a/g)	nothing	Ничто его не интересует; Он ничего не знает|Nothing interests him; He knows nothing	deck#5	due@2020-12-11 10:21:53
много (+g)	much, many, a lot	много работы|a lot of work	deck#6	due@2021-09-07 10:21:54
рука	hand; arm	моя рука|my hand/arm	deck#5	due@2020-12-11 10:21:56
себя	self [(a) pronoun]	к себе; с собой|towards oneself; with oneself	deck#5	due@2020-12-11 10:21:58
молодой	young	молодые люди|young people	deck#5	due@2020-12-11 10:21:59
тоже	too	Он тоже ничего не сказал|He too said nothing	deck#5	due@2020-12-11 10:22:00
спрашивать/спросить (+a о +pr)	to ask (s.o. about sth)	i Он спрашивает о войне|He asks about the war; p Я спросил его, знает ли он Ивана|I asked him whether he knew Ivan	deck#3	due@2020-09-19 15:44:44
без (+g)	without	без молока|without milk	deck#5	due@2020-12-11 15:44:45
делать/с- (+a)	to do, make	Мы ничего не делаем|We are doing nothing; Он сделал всю работу|He did all the work	deck#5	due@2020-12-11 09:01:54
три	three	три часа|three o’clock/three hours	deck#4	due@2020-10-11 22:31:36
всё	all; all the time	Он всё говорит о работе|He talks about work all the time	deck#6	due@2021-09-07 15:44:48
то	that; then	то есть; Если он здесь, то я уйду|that is (=i.e.); If he’s here, then I’ll leave	deck#5	due@2020-12-11 15:44:50
жить/по-	to live; p: live for a while	i Я хочу жить там, где она живёт|I want to live where she lives; p поживу, поживёшь, past пожил, пожила, пожило	deck#3	due@2020-09-19 15:45:09
труд	labour	с трудом|with difficulty	deck#3	due@2020-09-20 22:27:05
сам (f сама, n само, pl сами)	self	Он всё сделал сам|He did everything himself	deck#4	due@2020-10-11 22:33:43
хороший	good	Это хорошее вино|This is good wine	deck#5	due@2020-12-11 15:45:11
второй	second	второй день нового года|the second day of the New Year	deck#4	due@2020-10-12 08:59:55
через (+a)	across, via, after	через улицу; через час|across the street; in an hour’s time	deck#4	due@2020-10-11 22:36:33
место	place	Здесь нет места|There is no place/room here	deck#5	due@2020-12-11 15:45:12
после (+g)	after	После работы мы идём домой|After work we go home	deck#5	due@2020-12-11 15:45:16
страна	country	в нашей стране|in our country	deck#5	due@2020-12-11 15:45:18
двадцать	twenty	двадцать домов|twenty houses	deck#6	due@2021-09-07 15:45:20
должен (f должна, n должно, pl должны)	ought, obliged, must	Она должна идти; Мы должны быть там в десять|She must (is obliged to) go; We ought to be there at ten	deck#4	due@2020-10-11 22:39:47
больше	more	Он знает больше; больше хлеба|He knows more; more bread	deck#5	due@2020-12-11 15:45:21
ваш	your	Дом ваш|The house is yours	deck#5	due@2020-12-10 22:32:40
дверь (f)	door	за дверью|behind the door	deck#4	due@2020-10-12 15:45:24
друг (pl друзья)	friend	Мы с другом были в Москве|My friend and I were in Moscow	deck#4	due@2020-10-12 15:45:26
машина	machine; car	Мы смотрели на вашу машину|We were looking at your car	deck#5	due@2020-12-11 15:45:36
комната	room	В комнате холодно|It’s cold in the room	deck#4	due@2020-10-12 15:45:48
учиться (i)	to study	Иван учится в университете|Ivan studies at university	deck#5	due@2020-12-11 15:45:58
над (+inst)	above	над домом|above the house	deck#3	due@2020-09-19 15:46:04
голова	head	над вашей головой|above your head	deck#4	due@2020-10-11 22:38:17
почему	why	Почему вы не знаете?|Why don’t you know?	deck#5	due@2020-12-11 08:58:29
земля	earth, land	жизнь на земле|life on earth	deck#4	due@2020-10-12 15:46:08
стол	table	Он сидит за столом|He is sitting behind (at) the table	deck#5	due@2020-12-11 15:46:10
давать/дать (+a +d)	to give (sth to s.o.)	Мы даём слово, что всё сделаем|We give (our) word that we shall do everything	deck#5	due@2020-12-11 15:46:12
перед (+inst)	in front of, before	Он стоит перед домом|He is standing in front of the house	deck#4	due@2020-10-11 22:40:02
тогда	then, at that time	Он тогда работал на заводе|He worked in a factory then	deck#5	due@2020-12-11 15:46:23
сидеть/по-	to sit (p: sit for a while)	Кто сидит в комнате?|Who is sitting in the room?; p посижу, посидишь	deck#3	due@2020-09-18 22:32:58
мальчик	boy	В комнате сидят мальчики|The boys are sitting in the room	deck#6	due@2021-09-07 15:46:24
девушка	girl	К Ивану пришла девушка|A girl has come to (see) Ivan	deck#6	due@2021-09-07 15:46:26
лето (g pl лет)	summer; (after numbers) years	лётом; тысяча лет|in the summer; 1,000 years	deck#5	due@2020-12-11 15:46:28
сегодня	today	Сегодня надо работать|Today one must work	deck#5	due@2020-12-11 15:46:29
сторона	side	на этой стороне|on this side	deck#4	due@2020-10-12 15:46:32
совсем	completely	Машина совсем новая|The car is completely new	due@2020-09-12 19:12:38
маленький	small	Они живут в маленьком доме|They live in a small house	deck#4	due@2020-10-12 08:37:49
несколько (+g)	a few, some	несколько девушек|a few girls	deck#4	due@2020-10-12 15:46:47
вдруг	suddenly	Вдруг он спросил о Сталине|Suddenly he asked about Stalin	deck#3	due@2020-09-20 22:26:45
ни	not a	ни ... ни ...; Не было ни одного|neither ... nor ...; There wasn’t a single one	deck#5	due@2020-12-11 08:42:57
лицо	face; person	Я знаю ваше лицо|I know your face	deck#4	due@2020-10-12 08:53:25
конечно	of course	Конечно нет!|Of course not!	deck#4	due@2020-10-12 15:47:43
народ	(the) people	русский народ|the Russian people	deck#2	due@2020-09-12 22:31:34
начинать/начать	to begin	Мы начинаем понимать|We are beginning to understand; Он начал говорить|He began to speak	deck#3	due@2020-09-19 15:47:59
пять	five	Он живёт здесь уже пять лет|He has been living here for five years already	deck#5	due@2020-12-11 08:38:54
ведь	you know (expecting agreement)	Ведь он мой друг!|He’s my friend, you know!	due@2020-09-13 22:28:39
вопрос	question	трудные вопросы|difficult questions	deck#5	due@2020-12-11 15:48:11
писать/на- (+a)	to write	Мальчик пишет|The boy is writing; я напишу, ты напишешь|I’ll write, you’ll write	deck#4	due@2020-10-12 15:48:20
письмо	letter	Я пишу письмо|I am writing a letter	deck#4	due@2020-10-12 15:48:23
при (+pr)	in the presence/time of; attached to	при мне; при Сталине; при заводе|in my presence; under Stalin; attached to the factory	deck#2	due@2020-09-14 22:32:08
мать (f)	mother	машина моей матери|my mother’s car	deck#5	due@2020-12-11 15:48:41
нужно	(it is) necessary	Мне нужно идти|I must go	deck#4	due@2020-10-11 22:39:51
смотреть/по-	to watch; (на +a) look (at)	Она смотрит телевизор|She is watching television; Мы посмотрим фильм; Он посмотрел на меня|We’ll watch the film; He looked at me	deck#4	due@2020-10-12 08:50:57
сила	strength, force	сила характера; демократические силы|strength of character; democratic forces	deck#2	due@2020-09-13 15:48:45
вместе	together	Мы пришли вместе|We arrived together	deck#5	due@2020-12-11 15:48:49
выходить/выйти	to go out	Она вышла из комнаты|She went out of the room; Я выхожу из дома; Ты тоже выходишь|I leave the house; You leave too	deck#5	due@2020-12-11 15:48:54
любить/по- (+a)	to like, love; p: to fall in love with	Я люблю работать; Она вас любит|I like working; She loves you; p полюблю, полюбишь	deck#5	due@2020-12-11 15:48:58
дорога	road	по дороге домой|on the road (way) home	deck#4	due@2020-10-11 22:31:59
старый	old	Она любит старые картины|She likes old pictures	deck#4	due@2020-10-11 22:32:01
улица	street	Она живёт на нашей улице|She lives in our street	deck#4	due@2020-10-12 15:49:07
решать/решить (+inf/+a)	to decide; solve	Она решила уйти; Кто решит задачу?|She decided to leave; Who will solve the problem?	deck#4	due@2020-10-12 15:49:09
книга	book	На столе лежат пять книг|There are five books on the table	deck#5	due@2020-12-11 15:49:10
всегда	always	Всегда так|It is always like that	deck#4	due@2020-10-11 22:38:35
голос	voice; vote	Голос у неё хороший|She has a good voice	deck#4	due@2020-10-12 15:49:14
значить (i)	to mean	Что это значит?|What does this mean?	deck#3	due@2020-09-18 22:31:52
сразу	at once	Она ответила сразу|She answered at once	deck#3	due@2020-09-20 22:32:41
лишь	only (=только)	Это лишь одна из причин|That’s only one of the reasons	due@2020-09-13 22:38:34
минута	minute	Я приду через три минуты|I shall come in three minutes’ time	deck#6	due@2021-09-07 15:49:38
снова	again	Он начал снова|He began again	deck#4	due@2020-10-12 15:49:39
окно	window	Окно открыто|The window is open	deck#5	due@2020-12-11 15:49:41
бы	would (conditional particle)	Если бы она знала, она бы помогла|If she had known, she would have helped	deck#4	due@2020-10-12 15:49:43
уходить/уйти	to leave (on foot)	Вы уходите?|Are you leaving?; Он ушёл из университета|He has left the university	deck#4	due@2020-10-12 15:49:47
девятьсот	nine hundred	тысяча девятьсот пятый год|(the year) 1905	deck#2	due@2020-09-12 22:37:40
последний	last	в последней комнате|in the last room	deck#4	due@2020-10-12 15:49:50
проходить/пройти	to go through, pass (on foot)	Мы проходили мимо завода|We were walking past a factory; Пройдите в комнату! Она прошла мимо него|Go through into the room! She walked past him	deck#2	due@2020-09-13 15:49:56
отец	father	Она не думает об отце|She doesn’t think about (her) father	deck#5	due@2020-12-11 15:49:58
час	hour	три часа|three hours; three o’clock	deck#4	due@2020-10-11 22:37:35
просто	simply	Они просто не знают|They simply don’t know	deck#5	due@2020-12-11 15:50:00
видеть/увидеть	to see	Я увижу её; Она увидела отца|I’ll see her; She saw her father	deck#4	due@2020-10-11 22:35:08
же	emphasizes preceding word	Как же так?; Где же она? тот же дом|But how can that be?; Where on earth is she?; the same house	deck#2	due@2020-09-13 15:50:12
третий	third	Кто живёт в третьей квартире?|Who lives in flat number 3?	deck#4	due@2020-10-12 15:50:20
